Subject,Type,RMSD.copx.IMF2,RMSD.copy.IMF5,RMSD.copy.IMF6,ApEn.copx.IMF2,ApEn.copy.IMF4,ApEn.copy.IMF5,SampEn.copy.IMF5,SampEn.copy.IMF7,POWER.copy.IMF5,POWER.copy.IMF6,MF.copy.IMF4,MF.copy.IMF5
70,Old,0.222295536,0.319676267,0.161978739,0.290329732,0.043428398,0.026889301,0.02594706,0,621.3680469,166.7381257,0.216666667,0.133333333
70,Old,0.295551324,0.401617162,0.41221151,0.233906064,0.040121818,0.025816195,0.025327844,0.005624782,970.6998965,1114.895099,0.2,0.133333333
71,Old,0.753062452,0.237248548,0.258623628,0.162978322,0.042588958,0.01838688,0.018744204,0.004471069,351.9632618,442.1728956,0.2,0.083333333
71,Old,0.547607066,0.23571493,0.236046488,0.136209,0.044322093,0.019537049,0.016511536,0.006600159,338.2410128,338.628161,0.2,0.1
71,Old,0.458236458,0.204057523,0.227306695,0.182097044,0.05524293,0.027902142,0.027173526,0.004142189,250.8598318,307.2525044,0.266666667,0.15
73,Old,0.306958212,0.36426079,0.224986382,0.235837083,0.056475048,0.026071305,0.023457338,0.013802323,808.5982492,314.2037864,0.266666667,0.133333333
73,Old,0.284577931,0.406841743,0.25439647,0.204725212,0.056207531,0.02250755,0.019847051,0.004790978,964.7351926,400.1846869,0.266666667,0.116666667
73,Old,0.342828592,0.387133889,0.423369805,0.210206437,0.06671061,0.033059131,0.033616593,0,904.9189673,1097.067734,0.333333333,0.166666667
74,Old,0.363931044,0.236633472,0.145780423,0.205289421,0.047675289,0.022551144,0.021312536,0.003271333,340.2829046,124.2965328,0.216666667,0.116666667
74,Old,0.257494458,0.142533785,0.182666976,0.288388877,0.04893697,0.025017366,0.02521982,0.007976419,124.8736645,204.2333102,0.216666667,0.116666667
74,Old,0.358363875,0.281040535,0.27606439,0.269062361,0.059266945,0.02996443,0.031729201,0.006241858,486.0708531,417.7979311,0.3,0.133333333
76,Old,0.272741855,0.535751946,0.302554499,0.255494302,0.046501153,0.017636823,0.017992563,0.004352775,1737.678154,582.6362207,0.216666667,0.083333333
76,Old,0.326477791,0.176210428,0.19305205,0.280292608,0.046842107,0.024791449,0.025272244,0,191.8918681,241.2299034,0.233333333,0.116666667
76,Old,0.179196993,0.400849362,0.599813909,0.348634735,0.055191281,0.026636617,0.026844659,0.004002621,993.3595153,2211.097105,0.25,0.116666667
77,Old,0.180642019,0.423729156,0.32170508,0.368714924,0.059968908,0.023009887,0.022425267,0.003164499,1102.729739,634.3006188,0.283333333,0.116666667
77,Old,0.215525119,0.453780588,0.192615006,0.303144228,0.05244885,0.025840285,0.025498386,0.007575986,1272.784972,227.8131823,0.233333333,0.116666667
77,Old,0.205835462,0.412940149,0.265477594,0.328323867,0.04558641,0.0214246,0.02205031,0.003616068,1032.562702,445.6104077,0.216666667,0.116666667
83,Old,0.232608312,0.300633356,0.207956265,0.21259115,0.038219536,0.023570444,0.024235067,0.004195436,555.5279891,267.1216769,0.183333333,0.116666667
83,Old,0.334303832,0.304494307,0.102188148,0.181926167,0.039788353,0.025767866,0.025547743,0.008244321,562.1258572,61.07567391,0.15,0.133333333
83,Old,0.251604578,0.333246879,0.264772035,0.21649108,0.040742893,0.018190029,0.018197736,0.005768326,671.0966902,444.8718425,0.216666667,0.1
84,Old,0.379700336,0.58671379,0.198452401,0.244118488,0.061405985,0.027466604,0.028017248,0.009077556,2072.039679,242.8968492,0.266666667,0.15
84,Old,0.408861129,0.465727158,0.472260425,0.207025432,0.048773464,0.024094215,0.024583017,0,1307.135043,1393.213284,0.233333333,0.116666667
84,Old,0.405971856,0.576446757,0.85546041,0.199326946,0.050182265,0.022666368,0.02137589,0.003740624,2043.006313,4617.509851,0.25,0.116666667
87,Old,0.412483726,0.303297166,0.284635333,0.209773193,0.063940276,0.030272455,0.027605676,0.009253318,557.7002592,485.5122257,0.3,0.166666667
87,Old,0.336659803,0.260733244,0.213475794,0.26513299,0.065289636,0.035823561,0.034209191,0.005581117,409.9209421,276.0818977,0.316666667,0.166666667
87,Old,0.484853057,0.401956441,0.262081976,0.188462949,0.074883857,0.026874161,0.027580338,0.005197275,990.5960227,418.2323876,0.35,0.133333333
88,Old,0.593299354,0.283822792,0.353434084,0.137818751,0.041007857,0.023705638,0.022679813,0.00638284,472.9121168,799.0657958,0.183333333,0.116666667
