Subject,Type,RMSD.copx.IMF3,ApEn.copx.IMF1,ApEn.copx.IMF3,ApEn.copx.IMF4,ApEn.copy.IMF1,ApEn.copy.IMF2,SampEn.copx,SampEn.copx.IMF1,SampEn.copx.IMF3,SampEn.copx.IMF4,SampEn.copy,SampEn.copy.IMF1,SampEn.copy.IMF2,POWER.copx.IMF3,MF.copx.IMF3,MF.copx.IMF4,MF.copy.IMF2
157,Fall,0.09096472,0.3351107,0.1323245,0.07357124,0.2464425,0.3358789,0.5471044,0.2259809,0.1324417,0.07134567,0.4137519,0.1669567,0.212778,49.6719,0.55,0.35,1.183333
157,Fall,0.09226161,0.5974881,0.1193396,0.06256124,0.5601053,0.359471,0.6379595,0.4996775,0.1100127,0.06231696,0.6054546,0.4767804,0.2794605,51.30451,0.4833333,0.25,1.2
14,Old,0.337080693,0.531906728,0.181838072,0.058519899,0.562723961,0.238524189,0.594160077,0.410419593,0.15701643,0.054629255,0.501676832,0.47493741,0.174098736,681.1505701,0.716666667,0.25,0.9
14,Old,0.29550232,0.419423145,0.152951095,0.06907249,0.371966199,0.223694062,0.543617008,0.308052921,0.150240602,0.065720058,0.383475855,0.23404009,0.167589538,523.1222319,0.6,0.316666667,0.816666667
14,Old,0.302195186,0.593965198,0.196077562,0.064351533,0.242580797,0.253040792,0.641308833,0.507494906,0.176640806,0.058685915,0.592843506,0.120193575,0.22114058,548.0668855,0.783333333,0.283333333,0.933333333
41,Old,0.115661914,0.572785249,0.142759435,0.057905964,0.401627142,0.326550812,0.61048311,0.475523857,0.139782354,0.057696079,0.503408698,0.298170248,0.228126609,80.27968454,0.516666667,0.266666667,1.166666667
41,Old,0.118005253,0.41639752,0.127629516,0.067396152,0.421926451,0.264578931,0.548974769,0.301051044,0.104112756,0.068693616,0.359687913,0.331360224,0.177553561,83.57770255,0.55,0.3,0.9
41,Old,0.106506575,0.507321839,0.147350976,0.055620361,0.593275609,0.35186957,0.622122051,0.405260911,0.13336342,0.054873372,0.475736695,0.524107047,0.249150458,68.14654873,0.583333333,0.266666667,1.216666667
42,Old,0.171892522,0.262220157,0.071151008,0.044092497,0.642027547,0.172693046,0.521666109,0.114438493,0.072008324,0.043339292,0.399313846,0.589856826,0.078824017,179.7272312,0.283333333,0.216666667,0.8
42,Old,0.174053057,0.334179759,0.081518207,0.040673493,0.443201311,0.280672182,0.47933222,0.152692354,0.072754275,0.03916964,0.35988545,0.37296103,0.141213555,183.7698857,0.35,0.183333333,1.05
42,Old,0.123158493,0.253933539,0.085000569,0.052010048,0.569977361,0.240485906,0.336922239,0.102858308,0.075793464,0.052033799,0.15807609,0.491013582,0.12294949,90.92520362,0.366666667,0.233333333,0.9
43,Old,0.090778867,0.404674363,0.145596232,0.06904977,0.621885415,0.429721042,0.525537562,0.232708813,0.134163408,0.070934794,0.350822789,0.573091381,0.327761099,49.5304938,0.616666667,0.316666667,1.5
43,Old,0.067979877,0.460361222,0.129909999,0.045837262,0.64838913,0.527671943,0.558850521,0.26607422,0.129485613,0.046207091,0.382687658,0.597256924,0.462249781,27.71832733,0.483333333,0.2,1.85
43,Old,0.07882624,0.399559986,0.115762889,0.064434386,0.621777811,0.384054626,0.53904341,0.204525901,0.110511135,0.064290313,0.347618782,0.576732955,0.306506107,36.90705815,0.483333333,0.3,1.25
44,Old,0.075329921,0.615513259,0.170394754,0.057568502,0.636927992,0.355972498,0.660197316,0.548473772,0.158564037,0.052085296,0.654959173,0.586334284,0.260101451,34.05932101,0.7,0.25,1.083333333
44,Old,0.093990544,0.547345827,0.122503865,0.075830495,0.629266422,0.409377756,0.591930421,0.447107929,0.100191774,0.073478611,0.58097359,0.581904248,0.304208344,53.05335843,0.55,0.366666667,1.483333333
44,Old,0.077674602,0.621856252,0.176646672,0.070648915,0.644831199,0.410833801,0.712258197,0.561413353,0.150316054,0.061932801,0.65777313,0.600178739,0.311458992,36.10095049,0.7,0.316666667,1.416666667
45,Old,0.142461399,0.573997111,0.161019767,0.072498542,0.193831279,0.207814998,0.670403365,0.514603313,0.147508334,0.074218893,0.542511991,0.101867826,0.092336957,121.8162687,0.666666667,0.333333333,0.85
45,Old,0.081844104,0.634194414,0.171144279,0.056555479,0.59285697,0.141263024,0.741022432,0.585904833,0.17286985,0.054702557,0.562344493,0.529984236,0.074830944,40.19333467,0.683333333,0.266666667,0.766666667
45,Old,0.128262901,0.555564861,0.18503747,0.075293823,0.085587198,0.144797826,0.654161048,0.459215419,0.165678916,0.07550973,0.574810304,0.026368011,0.096840313,98.71557449,0.716666667,0.333333333,0.583333333
46,Old,0.136453733,0.152432677,0.165082266,0.069528517,0.340522092,0.258838273,0.457260071,0.080658293,0.144393373,0.067563206,0.318179001,0.236953533,0.134182498,111.7809988,0.7,0.333333333,1.016666667
46,Old,0.116471984,0.599607915,0.153159764,0.066287615,0.578636285,0.296324924,0.659068779,0.502155124,0.141926803,0.063295477,0.607009977,0.462752225,0.212447106,81.50862252,0.633333333,0.333333333,1.033333333
46,Old,0.118427772,0.609297307,0.147235756,0.064479883,0.591991098,0.301247418,0.671958734,0.534492891,0.148398244,0.058361164,0.63289864,0.50967673,0.203312819,84.18142486,0.566666667,0.316666667,1.033333333
47,Old,0.150230605,0.261642761,0.086241678,0.041728926,0.158182229,0.268844351,0.414562382,0.102712958,0.078303798,0.041335488,0.208454319,0.069651905,0.184719172,135.517894,0.4,0.2,0.966666667
47,Old,0.123104098,0.241252642,0.10726919,0.057032463,0.220331333,0.185185607,0.330261623,0.091366362,0.105315027,0.050939072,0.179416703,0.078713745,0.141494737,90.9793789,0.466666667,0.283333333,0.666666667
47,Old,0.163888615,0.209876896,0.083504823,0.056153003,0.236407759,0.133419592,0.401072619,0.097146547,0.069053373,0.058203121,0.252216839,0.094624452,0.092051724,163.0057444,0.333333333,0.266666667,0.466666667
50,Old,0.098820024,0.18967816,0.155822542,0.066076177,0.566251861,0.273257032,0.509045809,0.11718253,0.151788218,0.066506089,0.366464261,0.486671548,0.184045867,58.68697836,0.633333333,0.3,1.016666667
50,Old,0.162371801,0.226900155,0.0676078,0.030621642,0.647417316,0.284871345,0.479340649,0.088117413,0.062771504,0.027583965,0.291875288,0.598120581,0.206603538,160.7174452,0.266666667,0.15,0.966666667
50,Old,0.116486689,0.297074835,0.114693953,0.049689037,0.638415599,0.228685613,0.486943476,0.101179362,0.113674772,0.049055906,0.250809008,0.593284116,0.126448356,81.51297494,0.483333333,0.233333333,0.783333333
58,Old,0.150484875,0.387256406,0.117619255,0.063916725,0.632748007,0.405115621,0.580159344,0.25171782,0.111498144,0.065452399,0.401971635,0.578963908,0.318969521,135.7249833,0.5,0.316666667,1.35
58,Old,0.082156169,0.549365103,0.154847992,0.066112833,0.571189702,0.24637623,0.628014763,0.435803147,0.156235871,0.067300053,0.56069826,0.495870663,0.15602512,40.51478452,0.616666667,0.333333333,0.783333333
58,Old,0.128396745,0.410735265,0.097578942,0.061951155,0.638262653,0.447420031,0.588181968,0.266157553,0.091649426,0.061887381,0.492613107,0.569673415,0.345743631,99.06209208,0.383333333,0.3,1.45
59,Old,0.102113132,0.603479124,0.16002587,0.076543818,0.584309069,0.388200053,0.650285531,0.508387842,0.160085979,0.07151534,0.599798472,0.508312374,0.308362295,62.60272155,0.65,0.366666667,1.3
59,Old,0.178688662,0.600496996,0.115462333,0.070712236,0.616665959,0.312830549,0.642135581,0.497633835,0.109692568,0.072471224,0.608618132,0.564652412,0.252557434,191.1796106,0.483333333,0.333333333,1.05
59,Old,0.123527834,0.541743141,0.126005742,0.060342009,0.614724424,0.373042236,0.618371442,0.431272017,0.117448702,0.060653511,0.585057114,0.554091,0.26890191,91.60103153,0.516666667,0.3,1.2
65,Old,0.147456587,0.481280941,0.132935082,0.04567194,0.429078541,0.296056317,0.588662269,0.392895121,0.115604026,0.047309092,0.524424799,0.318130894,0.155997052,130.7516428,0.566666667,0.216666667,1.166666667
65,Old,0.215294466,0.463080573,0.091817014,0.059834578,0.329896314,0.197833784,0.49301452,0.353979031,0.066490873,0.056370523,0.481474754,0.229714058,0.086706807,280.80746,0.383333333,0.3,1.033333333
65,Old,0.132359427,0.283607712,0.123113907,0.034128617,0.58302862,0.277637899,0.484181694,0.209614004,0.115074306,0.032884821,0.454408922,0.512649158,0.160062422,105.2310777,0.483333333,0.166666667,1
67,Old,0.083922953,0.16725797,0.171874602,0.049335143,0.574297603,0.306164868,0.336834981,0.05317895,0.137201062,0.046513672,0.210542827,0.519374099,0.18528697,42.29168818,0.7,0.233333333,1.133333333
